Net Status Report
Filename     : C:\Users\lance\Dropbox\Volt\hpbicontroller-rev1-0-2014-02-22\ControllerRevB\HPBIController.PcbDoc
Date         : 10/3/2019
Time         : 3:16:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    DDR3_0V75, Signal Layers Only, 38.3246mm
    DDR3_A0, Signal Layers Only, 114.6605mm
    DDR3_A1, Signal Layers Only, 114.4994mm
    DDR3_A10, Signal Layers Only, 115.0521mm
    DDR3_A11, Signal Layers Only, 113.4902mm
    DDR3_A12, Signal Layers Only, 113.9334mm
    DDR3_A13, Signal Layers Only, 110.962mm
    DDR3_A14, Signal Layers Only, 114.3311mm
    DDR3_A2, Signal Layers Only, 115.7517mm
    DDR3_A3, Signal Layers Only, 113.8375mm
    DDR3_A4, Signal Layers Only, 113.5876mm
    DDR3_A5, Signal Layers Only, 112.9514mm
    DDR3_A6, Signal Layers Only, 113.148mm
    DDR3_A7, Signal Layers Only, 113.8766mm
    DDR3_A8, Signal Layers Only, 116.0998mm
    DDR3_A9, Signal Layers Only, 113.6498mm
    DDR3_BA0, Signal Layers Only, 113.0111mm
    DDR3_BA1, Signal Layers Only, 113.4367mm
    DDR3_BA2, Signal Layers Only, 114.2123mm
    DDR3_CAS_B, Signal Layers Only, 113.0864mm
    DDR3_CK0_N, Signal Layers Only, 98.5596mm
    DDR3_CK0_P, Signal Layers Only, 98.1495mm
    DDR3_CKE, Signal Layers Only, 104.6926mm
    DDR3_CS_B, Signal Layers Only, 109.7375mm
    DDR3_DM0, Signal Layers Only, 22.5041mm
    DDR3_DM1, Signal Layers Only, 21.8688mm
    DDR3_DM2, Signal Layers Only, 26.312mm
    DDR3_DM3, Signal Layers Only, 24.4863mm
    DDR3_DQ0, Signal Layers Only, 24.9339mm
    DDR3_DQ1, Signal Layers Only, 22.8797mm
    DDR3_DQ10, Signal Layers Only, 20.3066mm
    DDR3_DQ11, Signal Layers Only, 21.073mm
    DDR3_DQ12, Signal Layers Only, 21.0554mm
    DDR3_DQ13, Signal Layers Only, 21.8767mm
    DDR3_DQ14, Signal Layers Only, 24.8779mm
    DDR3_DQ15, Signal Layers Only, 20.9028mm
    DDR3_DQ16, Signal Layers Only, 26.7729mm
    DDR3_DQ17, Signal Layers Only, 22.9614mm
    DDR3_DQ18, Signal Layers Only, 28.4421mm
    DDR3_DQ19, Signal Layers Only, 22.8191mm
    DDR3_DQ2, Signal Layers Only, 24.0198mm
    DDR3_DQ20, Signal Layers Only, 27.7796mm
    DDR3_DQ21, Signal Layers Only, 22.9371mm
    DDR3_DQ22, Signal Layers Only, 28.0052mm
    DDR3_DQ23, Signal Layers Only, 26.0786mm
    DDR3_DQ24, Signal Layers Only, 22.292mm
    DDR3_DQ25, Signal Layers Only, 24.9mm
    DDR3_DQ26, Signal Layers Only, 26.4764mm
    DDR3_DQ27, Signal Layers Only, 24.9603mm
    DDR3_DQ28, Signal Layers Only, 24.0639mm
    DDR3_DQ29, Signal Layers Only, 21.2016mm
    DDR3_DQ3, Signal Layers Only, 23.9284mm
    DDR3_DQ30, Signal Layers Only, 21.8387mm
    DDR3_DQ31, Signal Layers Only, 23.7846mm
    DDR3_DQ4, Signal Layers Only, 22.9146mm
    DDR3_DQ5, Signal Layers Only, 23.3632mm
    DDR3_DQ6, Signal Layers Only, 24.2945mm
    DDR3_DQ7, Signal Layers Only, 24.2007mm
    DDR3_DQ8, Signal Layers Only, 21.7277mm
    DDR3_DQ9, Signal Layers Only, 22.4892mm
    DDR3_DQS0_N, Signal Layers Only, 24.0138mm
    DDR3_DQS0_P, Signal Layers Only, 23.7889mm
    DDR3_DQS1_N, Signal Layers Only, 20.9221mm
    DDR3_DQS1_P, Signal Layers Only, 21.096mm
    DDR3_DQS2_N, Signal Layers Only, 25.1528mm
    DDR3_DQS2_P, Signal Layers Only, 25.011mm
